Sesión,Fase,Enfoque,Dosis,Nivel 1 (Principiante),Nivel 2 (Intermedio),Nivel 3 (Avanzado)
Sesión 1,Calentamiento,Articular,2 min,Rotación de muñecas y hombros,Rotación de muñecas y hombros,Rotación de muñecas y hombros
Sesión 1,Calentamiento,Activación,1x12,Flexiones en pared lentas,Flexiones en pared lentas,Flexiones en pared lentas
Sesión 1,Fuerza,Pecho,3x10,Flexiones inclinadas,Flexiones estándar,Flexiones diamante
Sesión 1,Fuerza,Tríceps,2x10,Fondos en banco,Flexiones diamante,Flexiones esfinge
Sesión 1,Cardio,Aeróbico,,5 min soga,10 min soga,15 min soga (dobles)
Sesión 1,Estiramiento,Pecho,2 min,Apertura en puerta,Apertura en puerta,Apertura en puerta
Sesión 2,Calentamiento,Columna,2 min,Gato-Camello (Cat-Cow),Gato-Camello (Cat-Cow),Gato-Camello (Cat-Cow)
Sesión 2,Calentamiento,Activación,1x10,Escápula Pull-ups colgado,Escápula Pull-ups colgado,Escápula Pull-ups colgado
Sesión 2,Fuerza,Espalda,3x8,Remo invertido,Dominadas negativas,Dominadas (Pull-ups)
Sesión 2,Fuerza,Bíceps,2x8,Remo supino,Chin-ups,Chin-ups lentas (5s)
Sesión 2,Cardio,Resistencia,,10 min trote,15 min trote,20 min carrera
Sesión 2,Estiramiento,Espalda,2 min,Postura del niño,Postura del niño,Postura del niño
Sesión 3,Calentamiento,Articular,2 min,Círculos de cadera y tobillos,Círculos de cadera y tobillos,Círculos de cadera y tobillos
Sesión 3,Calentamiento,Activación,1x15,Sentadillas al aire muy lentas,Sentadillas al aire muy lentas,Sentadillas al aire muy lentas
Sesión 3,Fuerza,Cuádriceps,3x12,Sentadillas clásicas,Sentadilla búlgara,Pistol Squat (asistida)
Sesión 3,Fuerza,Glúteo/Pierna,3x10 c/u,Zancadas (Lunges),Zancadas saltando,Pistol Squat (libre)
Sesión 3,Cardio,Potencia,,2 Sprints,4 Sprints,6 Sprints
Sesión 3,Estiramiento,Pierna,2 min,Estiramiento de cuádriceps,Estiramiento de cuádriceps,Estiramiento de cuádriceps
Sesión 4,Calentamiento,Activación,1 min,Paseo del oso (Bear Crawl),Paseo del oso (Bear Crawl),Paseo del oso (Bear Crawl)
Sesión 4,Calentamiento,Hombros,15 reps,Y-W-T movimientos de brazos,Y-W-T movimientos de brazos,Y-W-T movimientos de brazos
Sesión 4,Fuerza,Hombros,3x8,Flexiones en pica,Pike pushups pies elevados,Hold de pino (pared)
Sesión 4,Fuerza,Core,3 series,Plancha (30s),Plancha (1 min),Plancha con peso/una mano
Sesión 4,Cardio,Resistencia,,10 min Bici,15 min Bici,25 min Bici
Sesión 4,Estiramiento,Hombros,2 min,Estiramiento cruzado de brazo,Estiramiento cruzado de brazo,Estiramiento cruzado de brazo
Sesión 5,Calentamiento,Articular,2 min,Rotación de muñecas en suelo,Rotación de muñecas en suelo,Rotación de muñecas en suelo
Sesión 5,Calentamiento,Activación,1x12,Flexiones escapulares,Flexiones escapulares,Flexiones escapulares
Sesión 5,Fuerza,Pecho/Hombro,3x8,Flexiones estándar,Flexiones arqueras,Pseudo Planche Pushups
Sesión 5,Fuerza,Tríceps,3x10,Fondos en banco,Fondos en paralelas,Fondos explosivos
Sesión 5,Cardio,Coordinación,,Soga básica,Soga (cruces),Soga (double unders)
Sesión 5,Estiramiento,Articular,2 min,Estiramiento de muñecas,Estiramiento de muñecas,Estiramiento de muñecas
Sesión 6,Calentamiento,Hombros,1 min,Círculos con brazos extendidos,Círculos con brazos extendidos,Círculos con brazos extendidos
Sesión 6,Calentamiento,Activación,12 reps,Dead Bug (core suave),Dead Bug (core suave),Dead Bug (core suave)
Sesión 6,Fuerza,Espalda,3x6,Dominadas negativas,Dominadas,Dominadas explosivas
Sesión 6,Fuerza,Core,3x10,Elevación rodillas,Elevación piernas (L),Toe to bar (piernas a barra)
Sesión 6,Cardio,Aeróbico,,15 min trote,20 min trote,30 min carrera
Sesión 6,Estiramiento,Columna,2 min,Torsión espinal sentado,Torsión espinal sentado,Torsión espinal sentado
Sesión 7,Calentamiento,Movilidad,1 min,Sentadilla profunda estática,Sentadilla profunda estática,Sentadilla profunda estática
Sesión 7,Calentamiento,Activación,15 reps,Puente de glúteo dos piernas,Puente de glúteo dos piernas,Puente de glúteo dos piernas
Sesión 7,Fuerza,Pierna Total,3x10,Sentadilla profunda,Sentadilla cosaca,Sentadilla arquera
Sesión 7,Fuerza,Isquios,3x12,Puente glúteo,Puente a una pierna,Nordic Curl (progresión)
Sesión 7,Cardio,Explosividad,,3 Sprints,5 Sprints,8 Sprints
Sesión 7,Estiramiento,Flexores,2 min,Couch Stretch,Couch Stretch,Couch Stretch
Sesión 8,Calentamiento,Activación,1 min,Paseo del oso,Paseo del oso,Paseo del oso
Sesión 8,Calentamiento,Core,10 reps/lado,Plancha lateral dinámica,Plancha lateral dinámica,Plancha lateral dinámica
Sesión 8,Fuerza,Core,3 series,Plancha lateral,L-sit (suelo),L-sit (paralelas)
Sesión 8,Fuerza,Hombros,3x10s,Hold pino asistido,Flexiones en pino (pared),Flexiones pino (libre)
Sesión 8,Cardio,Total,,8 Burpees,15 Burpees,25 Burpees
Sesión 8,Estiramiento,Cadera,2 min,Pancake o tocar puntas,Pancake o tocar puntas,Pancake o tocar puntas
