bloque,dia,muscle,ejercicio,series,repeticiones,notas
A,1,Pecho/Tríceps,Archer Pushups,3,10,Calistenia (alternando brazos)
A,1,Hombro,Pike Pushups,3,8,Enfoque en hombros (calistenia)
A,2,Espalda,Pull-ups Explosivas,3,MAX,Intenta subir el pecho a la barra
A,2,Bíceps,Face Pulls (Polea),3,15,Gym (salud de hombro y espalda alta)
A,3,Cuádriceps,Pistol Squats,3,8,Por pierna (equilibrio y fuerza)
A,3,Isquios,Peso Muerto Rumano,3,10,Gym (controlar el descenso)
A,4,Core,L-Sit Progressions,3,20s,En suelo o paralelas
A,4,Core,Rueda Abdominal,3,12,Gym/Calistenia
A,5,Pecho,Press de Banca Plano,3,8,Gym (fuerza base)
A,5,Hombro,Press Arnold,3,12,Gym (giro de muñeca)
A,6,Glúteo,Hip Thrust,3,8,Gym (carga pesada)
A,6,Pierna,Cossack Squats,3,12,Calistenia (movilidad lateral)
A,7,Skill,Handstand Practice,1,15 min,Práctica libre contra pared
,,,,,,
B,1,Espalda,Remo con Barra (T-Bar),3,10,Gym (densidad de espalda)
B,1,Espalda,Chin-ups,3,10,Agarre supino para bíceps
B,2,Pecho,Fondos en Paralelas (Dips),3,12,Calistenia (enfoque pecho bajo)
B,2,Tríceps,Skullcrushers,3,12,Gym (mancuerna o barra EZ)
B,3,Pierna,Sentadilla Búlgara,3,10,Por pierna (con mancuernas)
B,3,Pantorrilla,Elevación talón una pierna,4,15,Sin peso rango completo
B,4,Core,Dragon Flag Negatives,3,5,Calistenia (control excéntrico)
B,4,Lumbares,Hyperextensions,3,15,Gym (en banco de extensiones)
B,5,Hombro,Face Pulls,3,20,Gym (volumen y postura)
B,5,Pecho,Diamond Pushups,3,15,Calistenia (tríceps y pecho interno)
B,6,Glúteo/Isquios,Kettlebell Swings,4,15,Gym (explosividad)
B,6,Abdomen,Hollow Body Hold,3,45s,Mantener espalda baja pegada al suelo
B,7,Activo,Cardio Suave / Estiramiento,1,30 min,Recuperación
