bloque,dia,muscle,ejercicio,series,repeticiones,notas
A,1,gluteo,Sentadilla libre,3,12,
A,1,bicep,Martillo en predicador,3,8,
A,1,espalda baja,Superman,3,30s,
A,2,espalda,Pull up,3,8,
A,2,abdomen,Abs crunch y laterales,3,30,
A,2,pantorrilla,maquina,3,10,
A,3,muñeca,Arroz abrir y cerrar,3,10,
A,3,hombro,Press militar,3,10,
A,3,cuadricep,Extensiones maquina,4,10,
A,4,pantorilla,Prensa,4,12,
A,4,bicep,Chinup bicep,3,8,
A,4,pecho,Lagartijas,4,12,
A,5,gluteo,Peso muerto,3,8,
A,5,muñeca,Mancuerna vertical,3,15,
A,5,hombro,Laterales y frontales,3,5,
A,6,cuadricep,Prensa,4,10,
A,6,pecho,press normal,4,12,
A,6,abdomen,Visagras,3,15,
A,7,tricep,Lagartijas p/ tricep,3,8,
A,7,gluteo,Hip thrust,3,8,
A,7,espalda,Lagartija invertida,3,8,
,,,,,,
B,1,femoral,Maquina sentado,4,10,
B,1,espalda,Remo un brazo mancuerna,3,8,
B,1,abdomen,Plancha lateral,3,30 por lado,
B,2,tricep,Jalon polea,4,12,
B,2,pecho,Press inclinado,4,12,
B,2,gluteo,Sentadilla sumo,4,12,
B,3,bicep,Arnold martillo rotacion,3,12,
B,3,tricep,Fondos,3,8,
B,3,pantorilla,Escaleras,1,100,
B,4,gluteo,Bulgaras,3,10,
B,4,muñeca,Mancuerna subir y bajar muñeca,3,30s,
B,4,hombro,Lagartija V,3,4,
B,5,cuadricep,Desplantes,3,20,
B,5,tricep,Press frances,3,8,
B,5,pecho,Cristos,3,8,
B,6,gluteo,Patada,3,8,
B,6,espalda baja,Flexiones,3,10,
B,6,abdomen,Planchas,2,2 min,
B,7,,descanso activo,,24/7,extra
